secid,date,cp_flag,index_flag,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,volume,open_interest
108105,16/10/2017,,1,64881510,SPX,9999,32768,,A,,1226261,14617741
108105,16/10/2017,C,1,64881510,SPX,9999,32768,,A,,406586,4593221
108105,16/10/2017,P,1,64881510,SPX,9999,32768,,A,,819675,10024520
108105,17/10/2017,,1,64881510,SPX,9999,32768,,A,,993882,14736302
108105,17/10/2017,C,1,64881510,SPX,9999,32768,,A,,411313,4615263
108105,17/10/2017,P,1,64881510,SPX,9999,32768,,A,,582569,10121039
108105,18/10/2017,,1,64881510,SPX,9999,32768,,A,,1262109,15169821
108105,18/10/2017,C,1,64881510,SPX,9999,32768,,A,,496859,4801445
108105,18/10/2017,P,1,64881510,SPX,9999,32768,,A,,765250,10368376
108105,19/10/2017,,1,64881510,SPX,9999,32768,,A,,1172293,15323970
108105,19/10/2017,C,1,64881510,SPX,9999,32768,,A,,447685,4828772
108105,19/10/2017,P,1,64881510,SPX,9999,32768,,A,,724608,10495198
108105,20/10/2017,,1,64881510,SPX,9999,32768,,A,,1744872,13648768
108105,20/10/2017,C,1,64881510,SPX,9999,32768,,A,,684225,4385963
108105,20/10/2017,P,1,64881510,SPX,9999,32768,,A,,1060647,9262805
108105,23/10/2017,,1,64881510,SPX,9999,32768,,A,,1352404,14014573
108105,23/10/2017,C,1,64881510,SPX,9999,32768,,A,,492630,4517611
108105,23/10/2017,P,1,64881510,SPX,9999,32768,,A,,859774,9496962
108105,24/10/2017,,1,64881510,SPX,9999,32768,,A,,904803,14316017
108105,24/10/2017,C,1,64881510,SPX,9999,32768,,A,,311059,4594598
108105,24/10/2017,P,1,64881510,SPX,9999,32768,,A,,593744,9721419
108105,25/10/2017,,1,64881510,SPX,9999,32768,,A,,1618054,14705241
108105,25/10/2017,C,1,64881510,SPX,9999,32768,,A,,464898,4715225
108105,25/10/2017,P,1,64881510,SPX,9999,32768,,A,,1153156,9990016
108105,26/10/2017,,1,64881510,SPX,9999,32768,,A,,821509,15004256
108105,26/10/2017,C,1,64881510,SPX,9999,32768,,A,,258813,4752258
108105,26/10/2017,P,1,64881510,SPX,9999,32768,,A,,562696,10251998
108105,27/10/2017,,1,64881510,SPX,9999,32768,,A,,1536197,15344493
108105,27/10/2017,C,1,64881510,SPX,9999,32768,,A,,638577,4836643
108105,27/10/2017,P,1,64881510,SPX,9999,32768,,A,,897620,10507850
108105,30/10/2017,,1,64881510,SPX,9999,32768,,A,,1172494,15023704
108105,30/10/2017,C,1,64881510,SPX,9999,32768,,A,,424083,4783634
108105,30/10/2017,P,1,64881510,SPX,9999,32768,,A,,748411,10240070
108105,31/10/2017,,1,64881510,SPX,9999,32768,,A,,870437,15106177
108105,31/10/2017,C,1,64881510,SPX,9999,32768,,A,,279462,4841018
108105,31/10/2017,P,1,64881510,SPX,9999,32768,,A,,590975,10265159
108105,01/11/2017,,1,64881510,SPX,9999,32768,,A,,1340547,14630290
108105,01/11/2017,C,1,64881510,SPX,9999,32768,,A,,523026,4724627
108105,01/11/2017,P,1,64881510,SPX,9999,32768,,A,,817521,9905663
108105,02/11/2017,,1,64881510,SPX,9999,32768,,A,,971814,14821432
108105,02/11/2017,C,1,64881510,SPX,9999,32768,,A,,341693,4807543
108105,02/11/2017,P,1,64881510,SPX,9999,32768,,A,,630121,10013889
108105,03/11/2017,,1,64881510,SPX,9999,32768,,A,,1483186,15150043
108105,03/11/2017,C,1,64881510,SPX,9999,32768,,A,,525287,4871848
108105,03/11/2017,P,1,64881510,SPX,9999,32768,,A,,957899,10278195
108105,06/11/2017,,1,64881510,SPX,9999,32768,,A,,1212408,14786349
108105,06/11/2017,C,1,64881510,SPX,9999,32768,,A,,462072,4758394
108105,06/11/2017,P,1,64881510,SPX,9999,32768,,A,,750336,10027955
108105,07/11/2017,,1,64881510,SPX,9999,32768,,A,,1373232,14920859
